feature_set,model,test_file,val_file,policy,feature_count,test_windows,test_positive_windows,threshold,precision,recall,f1,fpr,auroc,pr_auc,tn,fp,fn,tp
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_29.csv,RogueAP_39.csv,best_f1,121,1001,164,0.6870543683711091,0.4064327485380117,0.8475609756097561,0.549407114624506,0.24253285543608125,0.8741440102573069,0.5200459330164062,634,203,25,139
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_29.csv,RogueAP_39.csv,fpr_le_0.20,121,1001,164,0.5434927743448897,0.3712871287128713,0.9146341463414634,0.528169014084507,0.3034647550776583,0.8741440102573069,0.5200459330164062,583,254,14,150
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_30.csv,RogueAP_39.csv,best_f1,121,1002,57,0.8255291819572451,0.49230769230769234,0.5614035087719298,0.5245901639344263,0.03492063492063492,0.9347257031467558,0.523001687236629,912,33,25,32
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_30.csv,RogueAP_39.csv,fpr_le_0.20,121,1002,57,0.6213679909706116,0.21666666666666667,0.9122807017543859,0.3501683501683502,0.19894179894179895,0.9347257031467558,0.523001687236629,757,188,5,52
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_30.csv,RogueAP_39.csv,best_f1,121,1002,57,0.6840423507283454,0.3148148148148148,0.5964912280701754,0.4121212121212121,0.07830687830687831,0.9057087162350319,0.3595644788275304,871,74,23,34
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_30.csv,RogueAP_39.csv,fpr_le_0.20,121,1002,57,0.5092584900427972,0.2032520325203252,0.8771929824561403,0.33003300330033003,0.2074074074074074,0.9057087162350319,0.3595644788275304,749,196,7,50
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_31.csv,RogueAP_39.csv,best_f1,121,1001,61,0.7780224084854127,0.375,0.39344262295081966,0.384,0.0425531914893617,0.8994768050226718,0.42376675607403663,900,40,37,24
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_31.csv,RogueAP_39.csv,fpr_le_0.20,121,1001,61,0.6258002519607544,0.28187919463087246,0.6885245901639344,0.4,0.11382978723404255,0.8994768050226718,0.42376675607403663,833,107,19,42
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_31.csv,RogueAP_39.csv,best_f1,121,1001,61,0.6851549933363488,0.3793103448275862,0.36065573770491804,0.3697478991596639,0.03829787234042553,0.897070108126962,0.371112587535365,904,36,39,22
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_31.csv,RogueAP_39.csv,fpr_le_0.20,121,1001,61,0.4870419318499287,0.26785714285714285,0.7377049180327869,0.3930131004366812,0.13085106382978723,0.897070108126962,0.371112587535365,817,123,16,45
