model,test_file,val_file,policy,test_windows,test_positive_windows,threshold,precision,recall,f1,fpr,auroc,pr_auc,tn,fp,fn,tp
rf_per_bssid,RogueAP_27.csv,RogueAP_39.csv,fpr_le_0.20,997,70,0.45570893806483664,0.4732824427480916,0.8857142857142857,0.6169154228855721,0.0744336569579288,0.9685775928494376,0.6549491504076286,858,69,8,62
rf_per_bssid,RogueAP_27.csv,RogueAP_39.csv,fpr_le_0.30,997,70,0.45570893806483664,0.4732824427480916,0.8857142857142857,0.6169154228855721,0.0744336569579288,0.9685775928494376,0.6549491504076286,858,69,8,62
xgb_per_bssid,RogueAP_27.csv,RogueAP_39.csv,best_f1,997,70,0.6946893763542193,0.5371900826446281,0.9285714285714286,0.680628272251309,0.06040992448759439,0.9809215595623362,0.8041603092938969,871,56,5,65
xgb_per_bssid,RogueAP_27.csv,RogueAP_39.csv,fpr_le_0.20,997,70,0.8445901870727539,0.5729166666666666,0.7857142857142857,0.6626506024096386,0.04422869471413161,0.9809215595623362,0.8041603092938969,886,41,15,55
xgb_per_bssid,RogueAP_27.csv,RogueAP_39.csv,fpr_le_0.30,997,70,0.8445901870727539,0.5729166666666666,0.7857142857142857,0.6626506024096386,0.04422869471413161,0.9809215595623362,0.8041603092938969,886,41,15,55
rf_per_bssid,RogueAP_28.csv,RogueAP_39.csv,best_f1,1001,83,0.4385312966122125,0.5725190839694656,0.9036144578313253,0.7009345794392523,0.06100217864923747,0.9765335853216789,0.7509698204992479,862,56,8,75
rf_per_bssid,RogueAP_28.csv,RogueAP_39.csv,fpr_le_0.20,1001,83,0.3766802476323759,0.5704225352112676,0.9759036144578314,0.72,0.0664488017429194,0.9765335853216789,0.7509698204992479,857,61,2,81
rf_per_bssid,RogueAP_28.csv,RogueAP_39.csv,fpr_le_0.30,1001,83,0.3766802476323759,0.5704225352112676,0.9759036144578314,0.72,0.0664488017429194,0.9765335853216789,0.7509698204992479,857,61,2,81
xgb_per_bssid,RogueAP_28.csv,RogueAP_39.csv,best_f1,1001,83,0.731338675022126,0.628099173553719,0.9156626506024096,0.7450980392156863,0.049019607843137254,0.9852153712890779,0.8553875432162005,873,45,7,76
xgb_per_bssid,RogueAP_28.csv,RogueAP_39.csv,fpr_le_0.20,1001,83,0.800066351890564,0.7415730337078652,0.7951807228915663,0.7674418604651163,0.02505446623093682,0.9852153712890779,0.8553875432162005,895,23,17,66
xgb_per_bssid,RogueAP_28.csv,RogueAP_39.csv,fpr_le_0.30,1001,83,0.800066351890564,0.7415730337078652,0.7951807228915663,0.7674418604651163,0.02505446623093682,0.9852153712890779,0.8553875432162005,895,23,17,66
rf_per_bssid,RogueAP_29.csv,RogueAP_39.csv,best_f1,1001,164,0.5757387668529977,0.5597014925373134,0.9146341463414634,0.6944444444444444,0.14097968936678615,0.9578853046594982,0.799356416202927,719,118,14,150
rf_per_bssid,RogueAP_29.csv,RogueAP_39.csv,fpr_le_0.20,1001,164,0.524270210436172,0.5428571428571428,0.926829268292683,0.6846846846846847,0.15292712066905614,0.9578853046594982,0.799356416202927,709,128,12,152
rf_per_bssid,RogueAP_29.csv,RogueAP_39.csv,fpr_le_0.30,1001,164,0.524270210436172,0.5428571428571428,0.926829268292683,0.6846846846846847,0.15292712066905614,0.9578853046594982,0.799356416202927,709,128,12,152
xgb_per_bssid,RogueAP_29.csv,RogueAP_39.csv,best_f1,1001,164,0.8235338664054873,0.6696035242290749,0.926829268292683,0.7774936061381074,0.08960573476702509,0.9766223737506192,0.8840741583573278,762,75,12,152
xgb_per_bssid,RogueAP_29.csv,RogueAP_39.csv,fpr_le_0.20,1001,164,0.8182929158210754,0.6666666666666666,0.9390243902439024,0.779746835443038,0.09199522102747909,0.9766223737506192,0.8840741583573278,760,77,10,154
xgb_per_bssid,RogueAP_29.csv,RogueAP_39.csv,fpr_le_0.30,1001,164,0.8182929158210754,0.6666666666666666,0.9390243902439024,0.779746835443038,0.09199522102747909,0.9766223737506192,0.8840741583573278,760,77,10,154
rf_per_bssid,RogueAP_30.csv,RogueAP_39.csv,best_f1,1002,57,0.5227454142197756,0.4435483870967742,0.9649122807017544,0.6077348066298343,0.07301587301587302,0.9726538568643832,0.5689678737496473,876,69,2,55
rf_per_bssid,RogueAP_30.csv,RogueAP_39.csv,fpr_le_0.20,1002,57,0.47594476657929113,0.4409448818897638,0.9824561403508771,0.6086956521739131,0.07513227513227513,0.9726538568643832,0.5689678737496473,874,71,1,56
rf_per_bssid,RogueAP_30.csv,RogueAP_39.csv,fpr_le_0.30,1002,57,0.47594476657929113,0.4409448818897638,0.9824561403508771,0.6086956521739131,0.07513227513227513,0.9726538568643832,0.5689678737496473,874,71,1,56
xgb_per_bssid,RogueAP_30.csv,RogueAP_39.csv,best_f1,1002,57,0.751785287857057,0.49557522123893805,0.9824561403508771,0.6588235294117647,0.06031746031746032,0.9772022649215633,0.6423725590177458,888,57,1,56
xgb_per_bssid,RogueAP_30.csv,RogueAP_39.csv,fpr_le_0.20,1002,57,0.8606517910957336,0.53125,0.8947368421052632,0.6666666666666666,0.047619047619047616,0.9772022649215633,0.6423725590177458,900,45,6,51
xgb_per_bssid,RogueAP_30.csv,RogueAP_39.csv,fpr_le_0.30,1002,57,0.8606517910957336,0.53125,0.8947368421052632,0.6666666666666666,0.047619047619047616,0.9772022649215633,0.6423725590177458,900,45,6,51
rf_per_bssid,RogueAP_31.csv,RogueAP_39.csv,best_f1,1001,61,0.5189280071613379,0.5714285714285714,0.9836065573770492,0.7228915662650602,0.047872340425531915,0.9830484827345657,0.7092940438229774,895,45,1,60
rf_per_bssid,RogueAP_31.csv,RogueAP_39.csv,fpr_le_0.20,1001,61,0.46483007812832605,0.5504587155963303,0.9836065573770492,0.7058823529411765,0.052127659574468084,0.9830484827345657,0.7092940438229774,891,49,1,60
rf_per_bssid,RogueAP_31.csv,RogueAP_39.csv,fpr_le_0.30,1001,61,0.46483007812832605,0.5504587155963303,0.9836065573770492,0.7058823529411765,0.052127659574468084,0.9830484827345657,0.7092940438229774,891,49,1,60
xgb_per_bssid,RogueAP_31.csv,RogueAP_39.csv,best_f1,1001,61,0.6575603079795861,0.5673076923076923,0.9672131147540983,0.7151515151515152,0.047872340425531915,0.9839902336937565,0.7252248570315232,895,45,2,59
xgb_per_bssid,RogueAP_31.csv,RogueAP_39.csv,fpr_le_0.20,1001,61,0.8504601120948792,0.6043956043956044,0.9016393442622951,0.7236842105263158,0.03829787234042553,0.9839902336937565,0.7252248570315232,904,36,6,55
xgb_per_bssid,RogueAP_31.csv,RogueAP_39.csv,fpr_le_0.30,1001,61,0.8504601120948792,0.6043956043956044,0.9016393442622951,0.7236842105263158,0.03829787234042553,0.9839902336937565,0.7252248570315232,904,36,6,55
rf_per_bssid,RogueAP_32.csv,RogueAP_39.csv,best_f1,1003,64,0.4766075064007082,0.5166666666666667,0.96875,0.6739130434782609,0.0617678381256656,0.967701677316294,0.512362120804404,881,58,2,62
rf_per_bssid,RogueAP_32.csv,RogueAP_39.csv,fpr_le_0.20,1003,64,0.4108221303265582,0.5080645161290323,0.984375,0.6702127659574468,0.06496272630457935,0.967701677316294,0.512362120804404,878,61,1,63
rf_per_bssid,RogueAP_32.csv,RogueAP_39.csv,fpr_le_0.30,1003,64,0.4108221303265582,0.5080645161290323,0.984375,0.6702127659574468,0.06496272630457935,0.967701677316294,0.512362120804404,878,61,1,63
xgb_per_bssid,RogueAP_32.csv,RogueAP_39.csv,best_f1,1003,64,0.6834847974777241,0.5254237288135594,0.96875,0.6813186813186813,0.059637912673056445,0.9760716187433439,0.6402395425782585,883,56,2,62
xgb_per_bssid,RogueAP_32.csv,RogueAP_39.csv,fpr_le_0.20,1003,64,0.8386942148208618,0.5495495495495496,0.953125,0.6971428571428572,0.05324813631522897,0.9760716187433439,0.6402395425782585,889,50,3,61
xgb_per_bssid,RogueAP_32.csv,RogueAP_39.csv,fpr_le_0.30,1003,64,0.8386942148208618,0.5495495495495496,0.953125,0.6971428571428572,0.05324813631522897,0.9760716187433439,0.6402395425782585,889,50,3,61
rf_per_bssid,RogueAP_33.csv,RogueAP_39.csv,best_f1,1002,67,0.3787779969865498,0.55,0.9850746268656716,0.7058823529411765,0.057754010695187166,0.983494293239684,0.7736135370777655,881,54,1,66
rf_per_bssid,RogueAP_33.csv,RogueAP_39.csv,fpr_le_0.20,1002,67,0.3153157360526186,0.5447154471544715,1.0,0.7052631578947368,0.059893048128342244,0.983494293239684,0.7736135370777655,879,56,0,67
rf_per_bssid,RogueAP_33.csv,RogueAP_39.csv,fpr_le_0.30,1002,67,0.3153157360526186,0.5447154471544715,1.0,0.7052631578947368,0.059893048128342244,0.983494293239684,0.7736135370777655,879,56,0,67
xgb_per_bssid,RogueAP_33.csv,RogueAP_39.csv,best_f1,1002,67,0.7520076799392709,0.6036036036036037,1.0,0.7528089887640449,0.047058823529411764,0.9857610344001916,0.8115680903856657,891,44,0,67
xgb_per_bssid,RogueAP_33.csv,RogueAP_39.csv,fpr_le_0.20,1002,67,0.8229296207427979,0.6226415094339622,0.9850746268656716,0.7630057803468208,0.0427807486631016,0.9857610344001916,0.8115680903856657,895,40,1,66
xgb_per_bssid,RogueAP_33.csv,RogueAP_39.csv,fpr_le_0.30,1002,67,0.8229296207427979,0.6226415094339622,0.9850746268656716,0.7630057803468208,0.0427807486631016,0.9857610344001916,0.8115680903856657,895,40,1,66
rf_per_bssid,RogueAP_34.csv,RogueAP_39.csv,best_f1,1003,91,0.5290308345107199,0.6382978723404256,0.989010989010989,0.7758620689655172,0.05592105263157895,0.9799619240408715,0.7901041416976828,861,51,1,90
rf_per_bssid,RogueAP_34.csv,RogueAP_39.csv,fpr_le_0.20,1003,91,0.4857017158631199,0.6206896551724138,0.989010989010989,0.7627118644067796,0.06030701754385965,0.9799619240408715,0.7901041416976828,857,55,1,90
rf_per_bssid,RogueAP_34.csv,RogueAP_39.csv,fpr_le_0.30,1003,91,0.4857017158631199,0.6206896551724138,0.989010989010989,0.7627118644067796,0.06030701754385965,0.9799619240408715,0.7901041416976828,857,55,1,90
